DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1979,1.08,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1980,1.36,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1981,4.30,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1982,1.74,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1983,15.24,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1984,3.63,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1985,3.70,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1986,5.95,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1987,3.87,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1988,12.36,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1989,3.46,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1990,4.32,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1991,6.41,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1992,37.09,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1993,7.99,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1994,34.02,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1995,6.91,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1996,1.62,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1997,2.23,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1998,17.29,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,1999,5.25,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,2000,18.43,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,2001,13.41,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,A,NR,CDD,AT,2002,15.80,,
