Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
470,Malta,T,Total,2022,1.03
498,Republic of Moldova,T,Total,2011,5.41
498,Republic of Moldova,T,Total,2012,5.42
498,Republic of Moldova,T,Total,2013,4.47
498,Republic of Moldova,T,Total,2014,4.59
498,Republic of Moldova,T,Total,2015,4.68
498,Republic of Moldova,T,Total,2016,4.59
498,Republic of Moldova,T,Total,2017,4.46
498,Republic of Moldova,T,Total,2018,4.51
498,Republic of Moldova,T,Total,2019,4.29
498,Republic of Moldova,T,Total,2020,4.51
498,Republic of Moldova,T,Total,2021,4.3
498,Republic of Moldova,T,Total,2022,3.89
578,Norway,T,Total,2017,2.72
578,Norway,T,Total,2018,2.65
578,Norway,T,Total,2019,2.49
578,Norway,T,Total,2020,2.5
578,Norway,T,Total,2021,2.49
578,Norway,T,Total,2022,2.13
860,Uzbekistan,T,Total,2014,7.27
860,Uzbekistan,T,Total,2015,6.48
860,Uzbekistan,T,Total,2016,6.46
860,Uzbekistan,T,Total,2017,6.52
860,Uzbekistan,T,Total,2018,6.38
860,Uzbekistan,T,Total,2019,6.15
860,Uzbekistan,T,Total,2020,6.48
860,Uzbekistan,T,Total,2021,6.63
860,Uzbekistan,T,Total,2022,6.02
268,Georgia,T,Total,2015,3.53
268,Georgia,T,Total,2016,3.53
268,Georgia,T,Total,2017,3.38
268,Georgia,T,Total,2018,3.16
268,Georgia,T,Total,2019,3.16
268,Georgia,T,Total,2020,3.26
268,Georgia,T,Total,2021,3.16
268,Georgia,T,Total,2022,3.08
276,Germany,T,Total,2011,2.79
276,Germany,T,Total,2012,2.8
276,Germany,T,Total,2013,2.85
276,Germany,T,Total,2014,2.66
276,Germany,T,Total,2015,2.63
276,Germany,T,Total,2016,2.58
620,Portugal,T,Total,2017,2.43
620,Portugal,T,Total,2018,2.28
620,Portugal,T,Total,2019,2.2
620,Portugal,T,Total,2020,2.22
620,Portugal,T,Total,2021,2.1
620,Portugal,T,Total,2022,1.98
642,Romania,T,Total,2011,2.82
642,Romania,T,Total,2012,2.7
642,Romania,T,Total,2013,2.46
276,Germany,T,Total,2017,2.52
276,Germany,T,Total,2018,2.44
276,Germany,T,Total,2019,2.36
276,Germany,T,Total,2020,2.31
276,Germany,T,Total,2021,2.31
276,Germany,T,Total,2022,2.14
300,Greece,T,Total,2011,2.99
300,Greece,T,Total,2012,3.2
300,Greece,T,Total,2013,2.88
300,Greece,T,Total,2014,2.84
300,Greece,T,Total,2015,2.86
300,Greece,T,Total,2016,2.81
300,Greece,T,Total,2017,2.82
300,Greece,T,Total,2018,2.69
