,Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
75701,Afghanistan,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,15.4374,15.3641,13.3166,13.9349,15.1779,15.8431,15.9433,16.0882,15.6403,15.4655,15.3677,15.5148,15.5157,15.4534,14.3839,14.3056,12.6002,12.5037,12.7541,12.3555,12.5616,12.6234,11.6442,11.7458,11.7687,11.9885,13.2249,14.2478,15.0743,16.0482,13.9157,12.2065,14.757,15.3371,15.2975,15.5714,15.7654,16.857,20.1171,23.0632,26.937,31.0167,28.8932,27.2544,27.4201,27.4083,26.634,27.6919,27.5533,26.9828,26.6463,27.6431,28.6141,29.4601,
75703,Afghanistan,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4617,22.7525,25.303,25.8831,25.8435,26.1174,26.3114,27.403,30.6631,33.6092,37.483,41.5627,39.4392,37.8004,37.9661,37.9543,37.18,38.2379,38.0993,37.5288,37.1923,38.1891,39.1601,,
77217,Albania,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,8.2249,8.1709,9.1048,8.5854,8.8543,9.0334,9.6442,10.2009,11.2233,12.3809,12.5802,11.6015,12.2445,13.0953,13.4093,12.9722,13.1968,13.4842,13.3796,13.2922,11.4931,9.036,6.1522,6.1898,6.8872,6.5295,6.2626,5.51,5.7699,6.98,7.1797,7.3674,7.9894,8.1784,8.3871,7.9774,8.0227,7.977,7.7615,7.7406,8.0482,8.4792,8.1594,8.4245,8.8997,8.7399,8.3565,9.1641,9.1528,8.6186,7.9674,8.3953,7.812,7.6737,
77219,Albania,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01724,13.20494,13.82694,14.01594,14.22464,13.81494,13.86024,13.81454,13.59904,13.57814,9.69016,12.850740000000002,13.51298,9.76943,10.12431,10.01175,9.70207,10.50967,10.49837,9.96417,9.31297,9.74087,9.15757,,
78733,Algeria,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,57.1888,60.9426,83.1002,95.8544,85.6231,82.024,96.4944,104.9883,113.7149,115.252,111.0048,104.3943,107.6821,110.4212,115.7812,126.6915,131.6991,129.8222,130.0135,133.1153,135.5304,136.4317,146.6454,149.7215,148.2633,156.5452,155.7093,146.3009,145.5687,149.9099,158.3337,147.7163,147.2746,161.0983,159.2566,164.4884,172.84,172.6273,180.771,176.9626,184.9204,191.6334,207.95,212.9415,225.8863,236.1836,234.105,239.1719,247.9033,254.4044,241.132,253.9457,263.2161,256.7921,
78735,Algeria,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1857,139.5683,139.1266,152.9503,151.1086,156.34040000000002,164.692,164.4793,172.623,168.8146,176.7724,183.4854,199.802,204.7935,217.7383,228.0356,225.957,231.0239,239.7553,246.2564,232.984,245.7977,255.0681,,
81765,Andorra,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81767,Andorra,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83281,Angola,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,18.9988,18.8661,21.459,23.0189,23.6854,22.5196,18.5862,23.251,25.3966,25.9139,26.374,24.9577,25.2025,26.9128,27.7471,29.3995,30.8002,32.6667,34.9145,35.2818,31.94,31.6742,30.5779,34.5023,45.4483,52.6022,63.3724,66.0631,71.1852,71.8714,67.0232,64.8397,63.006,63.1853,68.3839,66.4485,59.2384,57.6005,61.0807,62.58,69.601,68.5281,70.6164,75.2037,77.2957,81.775,78.8759,73.4244,69.5046,69.9108,61.6801,64.409,67.2108,67.7008,
83283,Angola,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.085805,104.90230499999998,103.068605,103.247905,108.446505,106.511105,99.145797,97.753857,101.146106,102.813866,109.790886,139.080461,141.008555,145.621082,147.728179,152.135442,149.30686400000002,143.831084,139.91419,140.32038999999995,132.08969,134.81859,137.62039,,
84797,Antigua and Barbuda,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,0.1584,0.1649,0.1859,0.1875,0.1734,0.198,0.186,0.2,0.205,0.2104,0.2138,0.1971,0.231,0.1677,0.1871,0.1913,0.1972,0.2327,0.2443,0.244,0.2463,0.2479,0.2496,0.2468,0.2634,0.2725,0.271,0.2828,0.2884,0.2919,0.2251,0.2226,0.2403,0.2547,0.2583,0.2647,0.2883,0.3067,0.3243,0.3568,0.3469,0.2788,0.293,0.3267,0.3474,0.3589,0.3838,0.3457,0.3635,0.4072,0.3413,0.371,0.3723,0.3886,
84799,Antigua and Barbuda,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166396850639999,0.414139685064,0.431839685064,0.4462396850639999,0.4498396850639999,0.456239685064,0.479839685064,0.4982396850639999,0.5158396850639999,0.548339685064,0.538439685064,0.470339685064,0.4845396850639999,0.518239685064,0.538939685064,0.550439685064,0.575339685064,0.537239685064,0.555039685064,0.598739685064,0.532839685064,0.562539685064,0.563839685064,,
86313,Argentina,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,219.5188,222.8484,229.8697,237.7765,238.1058,238.6448,247.0866,257.6457,250.361,256.2416,251.624,245.836,242.5447,248.6488,249.8876,241.5279,247.3417,251.4772,259.9959,259.1676,253.7964,257.6654,259.696,261.6067,267.2207,269.8835,277.07,281.8611,285.6024,291.6603,288.26,284.1961,283.4881,305.0625,323.8719,327.1338,340.4883,349.4249,350.8903,327.6279,331.4677,337.8568,344.9333,353.3854,352.5828,358.4936,361.2349,364.4737,363.819,360.9262,347.3124,367.614,374.7613,365.6846,
86315,Argentina,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4522400000001,367.05631000000017,381.0678700000001,401.1629300000001,428.35985,420.3283300000001,450.62934,466.74429,444.2530200000002,397.5566600000001,406.606,390.8336900000001,435.7875000000001,438.7277100000001,409.7963299999999,395.10272,390.9240099999999,400.58746,401.13252,368.6784,415.1623100000001,435.46391,442.61121,,
87829,Armenia,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,12.6721,12.8337,13.6391,14.6684,15.6878,16.9427,17.3793,17.9773,18.6713,19.3232,20.4415,20.8785,21.4618,21.528,21.5736,21.6328,21.8657,22.1189,22.0493,21.6583,24.3124,24.9294,14.0137,7.7203,5.3405,6.0246,5.0676,5.7695,5.8009,5.4265,5.9424,6.0835,5.6386,6.0896,6.5732,7.3211,7.2928,8.071,8.5466,7.2575,7.0043,7.6317,8.5021,8.5399,8.8962,8.8239,8.6555,8.8681,8.9951,9.4715,9.9936,10.6714,10.3645,10.8363,
87831,Armenia,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.524622634934127,5.686389828304293,5.231657021674459,6.600424215044623,6.134291408414789,6.853658601784956,6.825657061623459,7.561655521461963,8.043753981300467,6.766052441138971,6.513750900977475,7.145133365915854,8.037817114322142,8.063027382065448,8.415952061198471,8.344980760730982,8.16981219719507,8.39752,8.52452,9.00092,9.52302,10.20082,9.89392,,
90861,Australia,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,315.027,321.3046,333.4508,340.7941,355.4743,364.8706,367.989,374.7069,365.6672,369.8716,377.0645,380.2125,387.5086,374.5064,386.6454,402.6009,407.6939,418.6398,427.446,450.8114,460.2959,463.0406,464.8486,467.688,473.3833,481.4473,494.8125,507.8956,530.54,536.8934,546.5104,556.2184,564.8485,555.3444,575.3785,578.2469,583.3082,592.7062,591.3833,599.4883,604.604,610.0299,613.3936,609.3944,600.0331,602.0584,603.848,613.4302,611.3213,609.1698,584.5715,580.7378,569.0103,571.8398,
90863,Australia,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.8932807957794,606.8566308784647,610.6396331835725,611.7256782576358,611.7349841811526,639.1901212350299,648.6365814863002,665.0341009292052,650.0792845203569,655.8490853186488,646.0786910906005,628.3406733952795,614.9519972495377,603.6498638315542,596.9712471785003,580.6821653723146,550.1639328137202,550.8318974043625,557.3376713466319,550.491124135931,527.950186128816,524.116486128816,512.388986128816,,
92377,Austria,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,71.8109,74.9957,77.1999,80.9641,78.7271,76.204,81.6569,79.053,81.0649,83.7559,81.8809,78.2066,76.0375,75.9107,78.3792,79.7633,78.1953,78.3098,77.0959,76.373,80.4572,84.6021,79.0536,79.0251,79.3218,82.1749,86.1519,85.3395,85.4677,83.403,83.5141,88.4232,90.276,95.7921,95.6365,96.2015,93.7679,90.639,90.2653,82.7494,88.9336,87.1975,83.8313,84.6494,81.0201,82.1687,82.7174,85.1631,82.2069,83.4574,77.2734,80.7242,75.4085,72.9215,
