STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,STATISTICAL_OPERATION,Opération statistique,UNIT_MEASURE,Unité de mesure,AGE,Âge,METHODOLOGY,Méthodologie,DEFINITION,Définition,POVERTY_LINE,Ligne de pauvreté,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,DECIMALS,Décimales,PRICE_BASE,Type de prix,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,1995,,0.309,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2000,,0.317,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2004,,0.315,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2008,,0.336,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2010,,0.334,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,AUS,Australie,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2012,,0.324,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,BEL,Belgique,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2004,,0.287,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,BEL,Belgique,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2005,,0.277,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,BEL,Belgique,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2006,,0.264,,A,,,,,,3,,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Base de données sur la distribution des revenus,I,BEL,Belgique,A,Annuelle,INC_DISP_GINI,,_Z,,0_TO_1,Échelle 0-1,_T,Total,METH2011,,D_CUR,,_Z,,2007,,0.274,,A,,,,,,3,,,,,,,
