ccode;cname;year;ccode_qog;cname_qog;ccodealp;ccodecow;cname_year;ccodealp_year;wdi_incsh20l
8,00;Albania;1996;8;Albania;ALB;339,00;Albania 1996;ALB96;9,20
8,00;Albania;2002;8;Albania;ALB;339,00;Albania 2002;ALB02;8,40
8,00;Albania;2005;8;Albania;ALB;339,00;Albania 2005;ALB05;8,40
8,00;Albania;2008;8;Albania;ALB;339,00;Albania 2008;ALB08;8,90
8,00;Albania;2012;8;Albania;ALB;339,00;Albania 2012;ALB12;8,90
8,00;Albania;2014;8;Albania;ALB;339,00;Albania 2014;ALB14;7,00
8,00;Albania;2015;8;Albania;ALB;339,00;Albania 2015;ALB15;7,70
8,00;Albania;2016;8;Albania;ALB;339,00;Albania 2016;ALB16;7,30
8,00;Albania;2017;8;Albania;ALB;339,00;Albania 2017;ALB17;7,60
8,00;Albania;2018;8;Albania;ALB;339,00;Albania 2018;ALB18;7,90
8,00;Albania;2019;8;Albania;ALB;339,00;Albania 2019;ALB19;8,50
8,00;Albania;2020;8;Albania;ALB;339,00;Albania 2020;ALB20;8,40
12,00;Algeria;1988;12;Algeria;DZA;615,00;Algeria 1988;DZA88;6,80
12,00;Algeria;1995;12;Algeria;DZA;615,00;Algeria 1995;DZA95;7,00
12,00;Algeria;2011;12;Algeria;DZA;615,00;Algeria 2011;DZA11;9,40
24,00;Angola;2000;24;Angola;AGO;540,00;Angola 2000;AGO00;3,20
24,00;Angola;2008;24;Angola;AGO;540,00;Angola 2008;AGO08;5,40
24,00;Angola;2018;24;Angola;AGO;540,00;Angola 2018;AGO18;3,80
31,00;Azerbaijan;1995;31;Azerbaijan;AZE;373,00;Azerbaijan 1995;AZE95;7,10
31,00;Azerbaijan;2001;31;Azerbaijan;AZE;373,00;Azerbaijan 2001;AZE01;7,40
31,00;Azerbaijan;2002;31;Azerbaijan;AZE;373,00;Azerbaijan 2002;AZE02;10,90
31,00;Azerbaijan;2003;31;Azerbaijan;AZE;373,00;Azerbaijan 2003;AZE03;10,20
31,00;Azerbaijan;2004;31;Azerbaijan;AZE;373,00;Azerbaijan 2004;AZE04;10,70
31,00;Azerbaijan;2005;31;Azerbaijan;AZE;373,00;Azerbaijan 2005;AZE05;10,80
32,00;Argentina;1980;32;Argentina;ARG;160,00;Argentina 1980;ARG80;5,30
32,00;Argentina;1986;32;Argentina;ARG;160,00;Argentina 1986;ARG86;5,10
