"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources, %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"352","Iceland","T","Total","2011","0.38"
"352","Iceland","T","Total","2012","0.4"
"352","Iceland","T","Total","2013","0.4"
"643","Russian Federation","T","Total","2011","3.93"
"643","Russian Federation","T","Total","2012","4.07"
"643","Russian Federation","T","Total","2013","3.88"
"643","Russian Federation","T","Total","2014","4.5"
"643","Russian Federation","T","Total","2015","3.97"
"380","Italy","T","Total","2011","29.79"
"380","Italy","T","Total","2012","29.88"
"380","Italy","T","Total","2013","29.94"
"380","Italy","T","Total","2014","29.93"
"380","Italy","T","Total","2015","29.92"
"380","Italy","T","Total","2016","29.84"
"380","Italy","T","Total","2017","29.76"
"380","Italy","T","Total","2018","29.68"
"380","Italy","T","Total","2019","29.82"
"380","Italy","T","Total","2020","29.8"
"380","Italy","T","Total","2021","29.78"
"380","Italy","T","Total","2022","29.77"
"643","Russian Federation","T","Total","2016","4.12"
"643","Russian Federation","T","Total","2017","4.1"
"643","Russian Federation","T","Total","2018","4.12"
"643","Russian Federation","T","Total","2019","4.12"
"643","Russian Federation","T","Total","2020","4.12"
"643","Russian Federation","T","Total","2021","4.12"
"643","Russian Federation","T","Total","2022","4.12"
"470","Malta","T","Total","2011","75.45"
"008","Albania","T","Total","2012","6.76"
"008","Albania","T","Total","2013","6.61"
"008","Albania","T","Total","2014","6.46"
"008","Albania","T","Total","2015","5.53"
"008","Albania","T","Total","2016","6.56"
"008","Albania","T","Total","2017","6.56"
"008","Albania","T","Total","2018","5.76"
"008","Albania","T","Total","2019","6.8"
"008","Albania","T","Total","2020","4.72"
"008","Albania","T","Total","2021","4.78"
"008","Albania","T","Total","2022","4.79"
"440","Lithuania","T","Total","2022","1.83"
"705","Slovenia","T","Total","2011","5.75"
"428","Latvia","T","Total","2019","1.05"
"428","Latvia","T","Total","2020","1.07"
"428","Latvia","T","Total","2021","1.09"
"428","Latvia","T","Total","2022","1.02"
"705","Slovenia","T","Total","2012","6.27"
"705","Slovenia","T","Total","2013","7.81"
"705","Slovenia","T","Total","2014","6.63"
"705","Slovenia","T","Total","2015","6.06"
"705","Slovenia","T","Total","2016","6"
"705","Slovenia","T","Total","2017","6.3"
"705","Slovenia","T","Total","2018","6.5"
"705","Slovenia","T","Total","2019","6.38"
"705","Slovenia","T","Total","2020","6.78"
"705","Slovenia","T","Total","2021","6.29"
"705","Slovenia","T","Total","2022","5.59"
"372","Ireland","T","Total","2011","4.36"
"372","Ireland","T","Total","2012","4.72"
"372","Ireland","T","Total","2013","5.08"
"372","Ireland","T","Total","2014","5.43"
"372","Ireland","T","Total","2015","5.79"
"372","Ireland","T","Total","2016","6.15"
"372","Ireland","T","Total","2017","6.51"
"372","Ireland","T","Total","2018","6.87"
"372","Ireland","T","Total","2019","7.4"
"372","Ireland","T","Total","2020","7.43"
"372","Ireland","T","Total","2021","7.61"
"372","Ireland","T","Total","2022","8.05"
"642","Romania","T","Total","2011","6.17"
"642","Romania","T","Total","2012","6.07"
"642","Romania","T","Total","2013","6.01"
"642","Romania","T","Total","2014","5.88"
"642","Romania","T","Total","2015","6.05"
"642","Romania","T","Total","2016","5.97"
"642","Romania","T","Total","2017","6.34"
"642","Romania","T","Total","2018","6.01"
"642","Romania","T","Total","2019","6.55"
"642","Romania","T","Total","2020","6.92"
"642","Romania","T","Total","2021","7.36"
"642","Romania","T","Total","2022","7.63"
"442","Luxembourg","T","Total","2011","3.84"
"442","Luxembourg","T","Total","2012","3.7"
"442","Luxembourg","T","Total","2013","3.57"
"442","Luxembourg","T","Total","2014","3.81"
"442","Luxembourg","T","Total","2015","3.71"
"442","Luxembourg","T","Total","2016","3.68"
"442","Luxembourg","T","Total","2017","3.78"
"442","Luxembourg","T","Total","2018","4.33"
"442","Luxembourg","T","Total","2019","4.09"
"442","Luxembourg","T","Total","2020","3.96"
"442","Luxembourg","T","Total","2021","3.96"
"442","Luxembourg","T","Total","2022","3.96"
"470","Malta","T","Total","2020","81.78"
"470","Malta","T","Total","2021","78.47"
"470","Malta","T","Total","2022","72.6"
"840","United States","T","Total","2021","28.16"
"840","United States","T","Total","2022","28.16"
"208","Denmark","T","Total","2011","23.41"
"208","Denmark","T","Total","2012","19.7"
"208","Denmark","T","Total","2013","27.29"
"826","United Kingdom","T","Total","2011","13.1"
"826","United Kingdom","T","Total","2012","13.67"
"826","United Kingdom","T","Total","2013","13.05"
"826","United Kingdom","T","Total","2014","12.42"
"826","United Kingdom","T","Total","2015","13.91"
"826","United Kingdom","T","Total","2016","14.35"
"826","United Kingdom","T","Total","2017","14.35"
"826","United Kingdom","T","Total","2018","14.35"
"826","United Kingdom","T","Total","2019","14.35"
"826","United Kingdom","T","Total","2020","14.35"
"826","United Kingdom","T","Total","2021","14.35"
"826","United Kingdom","T","Total","2022","14.35"
"352","Iceland","T","Total","2014","0.37"
"352","Iceland","T","Total","2015","0.38"
"352","Iceland","T","Total","2016","0.35"
"352","Iceland","T","Total","2017","0.39"
"352","Iceland","T","Total","2018","0.39"
"352","Iceland","T","Total","2019","0.39"
"352","Iceland","T","Total","2020","0.39"
"352","Iceland","T","Total","2021","0.39"
"352","Iceland","T","Total","2022","0.39"
"578","Norway","T","Total","2011","2.11"
