"Under-five mortality rate, deaths per 1,000 live births"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"191","Croatia","F","Female","2011","4.8"
"191","Croatia","F","Female","2012","4.7"
"191","Croatia","F","Female","2013","4.6"
"191","Croatia","F","Female","2014","4.5"
"191","Croatia","F","Female","2015","4.4"
"191","Croatia","F","Female","2016","4.4"
"191","Croatia","F","Female","2017","4.3"
"051","Armenia","F","Female","2011","15.9"
"051","Armenia","F","Female","2012","15.1"
"051","Armenia","F","Female","2013","14.4"
"051","Armenia","F","Female","2014","13.8"
"051","Armenia","F","Female","2015","13.1"
"051","Armenia","F","Female","2016","12.5"
"051","Armenia","F","Female","2017","11.9"
"398","Kazakhstan","F","Female","2011","15.7"
"398","Kazakhstan","F","Female","2012","14.1"
"398","Kazakhstan","F","Female","2013","12.6"
"398","Kazakhstan","F","Female","2014","11.3"
"398","Kazakhstan","F","Female","2015","10.3"
"398","Kazakhstan","F","Female","2016","9.6"
"398","Kazakhstan","F","Female","2017","9.2"
"398","Kazakhstan","F","Female","2018","9"
"398","Kazakhstan","F","Female","2019","8.9"
"398","Kazakhstan","F","Female","2020","8.8"
"398","Kazakhstan","F","Female","2021","8.7"
"398","Kazakhstan","F","Female","2022","8.6"
"398","Kazakhstan","F","Female","2023","8.4"
"020","Andorra","F","Female","2011","3.7"
"020","Andorra","F","Female","2012","3.6"
"020","Andorra","F","Female","2013","3.4"
"020","Andorra","F","Female","2014","3.2"
"020","Andorra","F","Female","2015","3.1"
"020","Andorra","F","Female","2016","2.9"
"020","Andorra","F","Female","2017","2.8"
"020","Andorra","F","Female","2018","2.7"
"020","Andorra","F","Female","2019","2.6"
"020","Andorra","F","Female","2020","2.5"
"020","Andorra","F","Female","2021","2.4"
"020","Andorra","F","Female","2022","2.3"
"020","Andorra","F","Female","2023","2.2"
"196","Cyprus","F","Female","2011","3"
"196","Cyprus","F","Female","2012","2.8"
"196","Cyprus","F","Female","2013","2.8"
"196","Cyprus","F","Female","2014","2.7"
"196","Cyprus","F","Female","2015","2.7"
"196","Cyprus","F","Female","2016","2.7"
"196","Cyprus","F","Female","2017","2.8"
"196","Cyprus","F","Female","2018","2.8"
"196","Cyprus","F","Female","2019","2.9"
"196","Cyprus","F","Female","2020","3"
"196","Cyprus","F","Female","2021","3.1"
