"Proportion of population using safely managed drinking water services, Rural Areas, %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"804","Ukraine","T","Total","2011","80.2132"
"795","Turkmenistan","T","Total","2011","75.0572"
"795","Turkmenistan","T","Total","2012","77.5002"
"795","Turkmenistan","T","Total","2013","79.9802"
"795","Turkmenistan","T","Total","2014","82.497"
"795","Turkmenistan","T","Total","2015","85.0507"
"795","Turkmenistan","T","Total","2016","87.6414"
"795","Turkmenistan","T","Total","2017","90.269"
"795","Turkmenistan","T","Total","2018","92.3475"
"795","Turkmenistan","T","Total","2019","92.3475"
"795","Turkmenistan","T","Total","2020","92.3475"
"795","Turkmenistan","T","Total","2021","92.3475"
"795","Turkmenistan","T","Total","2022","92.3475"
"804","Ukraine","T","Total","2012","89.3406"
"804","Ukraine","T","Total","2013","90.6029"
"804","Ukraine","T","Total","2014","90.1214"
"804","Ukraine","T","Total","2015","89.637"
"804","Ukraine","T","Total","2016","89.1494"
"804","Ukraine","T","Total","2017","88.6588"
"804","Ukraine","T","Total","2018","88.1651"
"804","Ukraine","T","Total","2019","87.6684"
"804","Ukraine","T","Total","2020","87.1686"
"804","Ukraine","T","Total","2021","86.5457"
"804","Ukraine","T","Total","2022","86.1134"
"807","North Macedonia","T","Total","2011","74.5192"
"807","North Macedonia","T","Total","2012","74.537"
"807","North Macedonia","T","Total","2013","74.5549"
"807","North Macedonia","T","Total","2014","74.5727"
"807","North Macedonia","T","Total","2015","74.5905"
"807","North Macedonia","T","Total","2016","74.6084"
"807","North Macedonia","T","Total","2017","74.6262"
"807","North Macedonia","T","Total","2018","74.3681"
"807","North Macedonia","T","Total","2019","74.3859"
"807","North Macedonia","T","Total","2020","74.4036"
"807","North Macedonia","T","Total","2021","74.4214"
"807","North Macedonia","T","Total","2022","74.4214"
"203","Czechia","T","Total","2011","96.7446"
"203","Czechia","T","Total","2012","97.05"
"203","Czechia","T","Total","2013","97.3555"
"203","Czechia","T","Total","2014","97.661"
"203","Czechia","T","Total","2015","97.661"
"203","Czechia","T","Total","2016","97.661"
"203","Czechia","T","Total","2017","97.661"
"203","Czechia","T","Total","2018","97.661"
"203","Czechia","T","Total","2019","97.661"
"203","Czechia","T","Total","2020","97.661"
"203","Czechia","T","Total","2021","97.661"
"203","Czechia","T","Total","2022","97.661"
"250","France","T","Total","2011","98.4"
"250","France","T","Total","2012","98.4"
"250","France","T","Total","2013","98.4"
"250","France","T","Total","2014","98.4"
"250","France","T","Total","2015","98.4"
"250","France","T","Total","2016","98.4"
"250","France","T","Total","2017","98.4"
"250","France","T","Total","2018","98.4"
"250","France","T","Total","2019","98.4"
"250","France","T","Total","2020","98.4"
"250","France","T","Total","2021","98.4"
"250","France","T","Total","2022","98.4"
"268","Georgia","T","Total","2011","39.4776"
"268","Georgia","T","Total","2012","39.5735"
"268","Georgia","T","Total","2013","39.6695"
"268","Georgia","T","Total","2014","39.7655"
"268","Georgia","T","Total","2015","39.8615"
"268","Georgia","T","Total","2016","39.9575"
"268","Georgia","T","Total","2017","40.0535"
"268","Georgia","T","Total","2018","40.1495"
"268","Georgia","T","Total","2019","40.2455"
"268","Georgia","T","Total","2020","40.3415"
"268","Georgia","T","Total","2021","40.4375"
"268","Georgia","T","Total","2022","40.5335"
"376","Israel","T","Total","2011","99.4735"
"376","Israel","T","Total","2012","99.4651"
"376","Israel","T","Total","2013","99.4567"
"376","Israel","T","Total","2014","99.4483"
"376","Israel","T","Total","2015","99.4399"
"376","Israel","T","Total","2016","99.4315"
"376","Israel","T","Total","2017","99.4231"
"376","Israel","T","Total","2018","99.4146"
"376","Israel","T","Total","2019","99.4062"
"376","Israel","T","Total","2020","99.3978"
"376","Israel","T","Total","2021","99.3894"
"376","Israel","T","Total","2022","99.381"
"417","Kyrgyzstan","T","Total","2011","43.6347"
"417","Kyrgyzstan","T","Total","2012","46.0951"
"417","Kyrgyzstan","T","Total","2013","48.5973"
"417","Kyrgyzstan","T","Total","2014","51.1413"
"417","Kyrgyzstan","T","Total","2015","53.7272"
"417","Kyrgyzstan","T","Total","2016","56.355"
"417","Kyrgyzstan","T","Total","2017","59.0247"
"417","Kyrgyzstan","T","Total","2018","61.7363"
"417","Kyrgyzstan","T","Total","2019","64.4897"
"417","Kyrgyzstan","T","Total","2020","67.285"
"417","Kyrgyzstan","T","Total","2021","67.285"
"417","Kyrgyzstan","T","Total","2022","67.285"
"276","Germany","T","Total","2011","99.795"
"276","Germany","T","Total","2012","99.7794"
"276","Germany","T","Total","2013","99.7638"
"276","Germany","T","Total","2014","99.7482"
"860","Uzbekistan","T","Total","2011","48.4977"
"860","Uzbekistan","T","Total","2012","50.4789"
"860","Uzbekistan","T","Total","2013","52.4752"
"860","Uzbekistan","T","Total","2014","54.4866"
"860","Uzbekistan","T","Total","2015","56.5133"
"860","Uzbekistan","T","Total","2016","58.555"
"860","Uzbekistan","T","Total","2017","60.612"
"860","Uzbekistan","T","Total","2018","62.684"
"860","Uzbekistan","T","Total","2019","64.7682"
"860","Uzbekistan","T","Total","2020","66.7504"
