Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
792,T�rkiye,T,Total,2015,14.3
792,T�rkiye,T,Total,2016,13.5
792,T�rkiye,T,Total,2017,13.9
792,T�rkiye,T,Total,2018,14.4
792,T�rkiye,T,Total,2019,15
792,T�rkiye,T,Total,2020,14.4
792,T�rkiye,T,Total,2021,14.4
792,T�rkiye,T,Total,2022,13.9
250,France,T,Total,2021,15.6
268,Georgia,T,Total,2011,34.1
268,Georgia,T,Total,2012,30
268,Georgia,T,Total,2013,26.2
268,Georgia,T,Total,2014,23.5
268,Georgia,T,Total,2015,21.6
268,Georgia,T,Total,2016,22
268,Georgia,T,Total,2017,21.9
268,Georgia,T,Total,2018,20.1
268,Georgia,T,Total,2019,19.5
268,Georgia,T,Total,2020,21.3
268,Georgia,T,Total,2021,17.5
268,Georgia,T,Total,2022,15.6
268,Georgia,T,Total,2023,11.8
643,Russian Federation,T,Total,2011,12.7
643,Russian Federation,T,Total,2012,10.7
643,Russian Federation,T,Total,2013,10.8
643,Russian Federation,T,Total,2014,11.2
643,Russian Federation,T,Total,2015,13.3
643,Russian Federation,T,Total,2016,13.3
643,Russian Federation,T,Total,2017,13.2
643,Russian Federation,T,Total,2018,12.6
643,Russian Federation,T,Total,2019,12.3
643,Russian Federation,T,Total,2020,12.1
428,Latvia,T,Total,2021,22.5
428,Latvia,T,Total,2022,22.5
470,Malta,T,Total,2011,15.1
470,Malta,T,Total,2012,15.8
470,Malta,T,Total,2013,15.8
470,Malta,T,Total,2014,16.6
470,Malta,T,Total,2015,16.5
470,Malta,T,Total,2016,16.7
470,Malta,T,Total,2017,16.8
470,Malta,T,Total,2018,17.1
470,Malta,T,Total,2019,16.9
470,Malta,T,Total,2020,16.9
470,Malta,T,Total,2021,16.7
498,Republic of Moldova,T,Total,2019,25.2
498,Republic of Moldova,T,Total,2020,26.8
498,Republic of Moldova,T,Total,2021,24.5
498,Republic of Moldova,T,Total,2022,31.1
826,United Kingdom,T,Total,2016,17
826,United Kingdom,T,Total,2017,18.6
642,Romania,T,Total,2012,23
642,Romania,T,Total,2013,25.1
642,Romania,T,Total,2014,25.4
642,Romania,T,Total,2015,25.3
642,Romania,T,Total,2016,23.6
642,Romania,T,Total,2017,23.5
642,Romania,T,Total,2018,23.8
642,Romania,T,Total,2019,23.4
642,Romania,T,Total,2020,22.5
642,Romania,T,Total,2021,21.2
642,Romania,T,Total,2022,21.1
300,Greece,T,Total,2011,23.1
300,Greece,T,Total,2012,23.1
300,Greece,T,Total,2013,22.1
300,Greece,T,Total,2014,21.4
300,Greece,T,Total,2015,21.2
300,Greece,T,Total,2016,20.2
300,Greece,T,Total,2017,18.5
300,Greece,T,Total,2018,17.9
300,Greece,T,Total,2019,17.7
300,Greece,T,Total,2020,19.6
300,Greece,T,Total,2021,18.8
191,Croatia,T,Total,2011,20.4
191,Croatia,T,Total,2012,19.5
191,Croatia,T,Total,2013,19.4
191,Croatia,T,Total,2014,20
191,Croatia,T,Total,2015,19.5
191,Croatia,T,Total,2016,20
191,Croatia,T,Total,2017,19.3
191,Croatia,T,Total,2018,18.3
191,Croatia,T,Total,2019,18.3
191,Croatia,T,Total,2020,19.2
191,Croatia,T,Total,2021,18
246,Finland,T,Total,2011,13.2
246,Finland,T,Total,2012,11.8
246,Finland,T,Total,2013,12.8
246,Finland,T,Total,2014,12.4
246,Finland,T,Total,2015,11.6
246,Finland,T,Total,2016,11.5
246,Finland,T,Total,2017,12
246,Finland,T,Total,2018,11.6
246,Finland,T,Total,2019,12.2
246,Finland,T,Total,2020,10.8
246,Finland,T,Total,2021,12.7
246,Finland,T,Total,2022,12.2
8,Albania,T,Total,2016,23.7
8,Albania,T,Total,2017,23.4
8,Albania,T,Total,2018,23
8,Albania,T,Total,2019,21.8
8,Albania,T,Total,2020,22
