"Proportion of bodies of water with good ambient water quality, %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"191","Croatia","T","Total","2017","92.31"
"724","Spain","T","Total","2017","29.84"
"724","Spain","T","Total","2020","32.7"
"724","Spain","T","Total","2023","21.6"
"100","Bulgaria","T","Total","2017","35.56"
"100","Bulgaria","T","Total","2020","33.73"
"100","Bulgaria","T","Total","2023","32.68"
"795","Turkmenistan","T","Total","2023","75.06"
"642","Romania","T","Total","2017","59.87"
"642","Romania","T","Total","2020","64.66"
"642","Romania","T","Total","2023","50.86"
"792","Türkiye","T","Total","2023","78.45"
"352","Iceland","T","Total","2017","100"
"352","Iceland","T","Total","2020","75"
"352","Iceland","T","Total","2023","50"
"807","North Macedonia","T","Total","2017","63.64"
"688","Serbia","T","Total","2017","47.37"
"826","United Kingdom","T","Total","2017","87.1"
"826","United Kingdom","T","Total","2020","89.9"
"826","United Kingdom","T","Total","2023","32.88"
"008","Albania","T","Total","2023","39.06"
"300","Greece","T","Total","2017","17.28"
"300","Greece","T","Total","2020","16.89"
"300","Greece","T","Total","2023","20.37"
"208","Denmark","T","Total","2017","37.56"
"208","Denmark","T","Total","2020","38.3"
"208","Denmark","T","Total","2023","29.31"
"196","Cyprus","T","Total","2017","71.74"
"196","Cyprus","T","Total","2020","79.25"
"196","Cyprus","T","Total","2023","75"
"268","Georgia","T","Total","2020","92"
"268","Georgia","T","Total","2023","92"
"398","Kazakhstan","T","Total","2020","63.94"
"756","Switzerland","T","Total","2017","83.87"
"756","Switzerland","T","Total","2020","70.75"
"756","Switzerland","T","Total","2023","79.41"
"470","Malta","T","Total","2023","6.67"
"428","Latvia","T","Total","2017","74.97"
"428","Latvia","T","Total","2020","77.48"
"428","Latvia","T","Total","2023","83.76"
"438","Liechtenstein","T","Total","2017","80"
"438","Liechtenstein","T","Total","2020","80"
"438","Liechtenstein","T","Total","2023","80.2"
"498","Republic of Moldova","T","Total","2023","51.08"
"020","Andorra","T","Total","2017","92.86"
"020","Andorra","T","Total","2020","86"
"020","Andorra","T","Total","2023","68"
"703","Slovakia","T","Total","2020","74.1"
"703","Slovakia","T","Total","2023","61.44"
"112","Belarus","T","Total","2020","76.11"
"112","Belarus","T","Total","2023","69.22"
"124","Canada","T","Total","2020","82.19"
"124","Canada","T","Total","2023","87.95"
"688","Serbia","T","Total","2020","47.76"
"688","Serbia","T","Total","2023","50.79"
"191","Croatia","T","Total","2020","93.33"
"191","Croatia","T","Total","2023","90.91"
"276","Germany","T","Total","2017","73.26"
"276","Germany","T","Total","2020","75.81"
"276","Germany","T","Total","2023","76.7"
"233","Estonia","T","Total","2017","100"
"233","Estonia","T","Total","2020","75.65"
"233","Estonia","T","Total","2023","18.5"
"620","Portugal","T","Total","2017","44.39"
"620","Portugal","T","Total","2020","48.19"
"620","Portugal","T","Total","2023","52.94"
"616","Poland","T","Total","2017","50.23"
"616","Poland","T","Total","2020","72.17"
"616","Poland","T","Total","2023","67.59"
"499","Montenegro","T","Total","2017","94.12"
"499","Montenegro","T","Total","2020","88.1"
"499","Montenegro","T","Total","2023","95.35"
"056","Belgium","T","Total","2017","20.59"
"056","Belgium","T","Total","2020","21.25"
"056","Belgium","T","Total","2023","26.25"
"807","North Macedonia","T","Total","2020","57.89"
"807","North Macedonia","T","Total","2023","72.22"
"203","Czechia","T","Total","2017","24.22"
"203","Czechia","T","Total","2020","20.5"
"203","Czechia","T","Total","2023","15.53"
"070","Bosnia and Herzegovina","T","Total","2017","5.79"
"070","Bosnia and Herzegovina","T","Total","2020","30.58"
"070","Bosnia and Herzegovina","T","Total","2023","30.58"
"528","Netherlands","T","Total","2017","7.32"
"528","Netherlands","T","Total","2020","8.73"
"372","Ireland","T","Total","2017","61.69"
"372","Ireland","T","Total","2020","59.44"
"372","Ireland","T","Total","2023","58.2"
"348","Hungary","T","Total","2017","57.66"
"348","Hungary","T","Total","2020","59.33"
"348","Hungary","T","Total","2023","33.34"
"246","Finland","T","Total","2017","60.59"
"246","Finland","T","Total","2020","57.18"
"246","Finland","T","Total","2023","59.71"
"376","Israel","T","Total","2020","40"
"376","Israel","T","Total","2023","40"
"840","United States","T","Total","2020","33.67"
"840","United States","T","Total","2023","41.97"
"398","Kazakhstan","T","Total","2023","48.86"
"440","Lithuania","T","Total","2017","29.85"
"440","Lithuania","T","Total","2020","29.56"
"440","Lithuania","T","Total","2023","22.36"
"442","Luxembourg","T","Total","2023","0"
"031","Azerbaijan","T","Total","2023","56.6"
"040","Austria","T","Total","2017","80.44"
"040","Austria","T","Total","2020","81.77"
"040","Austria","T","Total","2023","82.26"
"578","Norway","T","Total","2017","100"
"578","Norway","T","Total","2020","100"
"578","Norway","T","Total","2023","100"
"705","Slovenia","T","Total","2017","75.81"
"705","Slovenia","T","Total","2020","83.89"
"705","Slovenia","T","Total","2023","86.81"
"643","Russian Federation","T","Total","2017","96"
"643","Russian Federation","T","Total","2020","96"
"643","Russian Federation","T","Total","2023","100"
"752","Sweden","T","Total","2017","45.13"
"752","Sweden","T","Total","2020","48.37"
"752","Sweden","T","Total","2023","48.37"
"380","Italy","T","Total","2023","50.66"
"250","France","T","Total","2017","83.53"
"250","France","T","Total","2020","78.93"
"250","France","T","Total","2023","85.26"
"703","Slovakia","T","Total","2017","70"
"528","Netherlands","T","Total","2023","12.67"
