STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,org_inst,National and international organizations and institutions,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2018,,46.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2019,,48.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2020,,47.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2021,,59.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2022,,43.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AL,Albania,2023,,54.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2003,,26.7,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2004,,27.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2005,,37.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2006,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2007,,35.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2008,,35.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2009,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2010,,38.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2011,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2012,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2013,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2014,,31.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2015,,31.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2016,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2017,,26.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2018,,37.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2019,,50.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2020,,52.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2021,,47.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2022,,44.4,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2023,,44.4,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,AT,Austria,2024,,43.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2018,,10.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2019,,11.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2020,,15.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2021,,15.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2022,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BA,Bosnia and Herzegovina,2023,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2003,,40.0,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2004,,26.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2005,,26.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2006,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2007,,26.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2008,,31.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2009,,18.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2010,,22.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2011,,23.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2012,,31.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2013,,31.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2014,,22.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2015,,27.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2016,,22.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2017,,22.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2018,,22.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2019,,30.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2020,,50.0,,,,,
