"Proportion of seats held by women in national parliaments , %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"674","San Marino","T","Total","2011","16.67"
"674","San Marino","T","Total","2012","18.33"
"499","Montenegro","T","Total","2013","17.28"
"499","Montenegro","T","Total","2014","14.81"
"499","Montenegro","T","Total","2015","17.28"
"499","Montenegro","T","Total","2016","17.28"
"499","Montenegro","T","Total","2017","23.46"
"499","Montenegro","T","Total","2018","23.46"
"499","Montenegro","T","Total","2019","23.46"
"499","Montenegro","T","Total","2020","29.63"
"499","Montenegro","T","Total","2021","24.69"
"499","Montenegro","T","Total","2022","27.16"
"499","Montenegro","T","Total","2023","28.4"
"499","Montenegro","T","Total","2024","27.16"
"499","Montenegro","T","Total","2025","27.16"
"112","Belarus","T","Total","2011","31.82"
"112","Belarus","T","Total","2012","31.82"
"112","Belarus","T","Total","2013","26.61"
"112","Belarus","T","Total","2014","26.61"
"112","Belarus","T","Total","2015","27.27"
"112","Belarus","T","Total","2016","27.27"
"112","Belarus","T","Total","2017","34.55"
"112","Belarus","T","Total","2018","34.55"
"112","Belarus","T","Total","2019","34.55"
"112","Belarus","T","Total","2020","40"
"112","Belarus","T","Total","2021","40"
"112","Belarus","T","Total","2022","40"
"112","Belarus","T","Total","2023","40"
"112","Belarus","T","Total","2024","40"
"112","Belarus","T","Total","2025","33.94"
"124","Canada","T","Total","2011","22.08"
"124","Canada","T","Total","2012","24.76"
"124","Canada","T","Total","2013","24.68"
"124","Canada","T","Total","2014","25.08"
"124","Canada","T","Total","2015","25.16"
"124","Canada","T","Total","2016","26.04"
"124","Canada","T","Total","2017","26.27"
"124","Canada","T","Total","2018","27"
"124","Canada","T","Total","2019","26.95"
"124","Canada","T","Total","2020","28.99"
"124","Canada","T","Total","2021","29.59"
"124","Canada","T","Total","2022","30.47"
"124","Canada","T","Total","2023","30.65"
"124","Canada","T","Total","2024","30.56"
"124","Canada","T","Total","2025","30.86"
"372","Ireland","T","Total","2011","13.94"
"372","Ireland","T","Total","2012","15.06"
"372","Ireland","T","Total","2013","15.06"
"372","Ireland","T","Total","2014","15.66"
"372","Ireland","T","Total","2015","16.27"
"372","Ireland","T","Total","2016","16.27"
"372","Ireland","T","Total","2017","22.15"
"372","Ireland","T","Total","2018","22.15"
"372","Ireland","T","Total","2019","22.15"
"372","Ireland","T","Total","2020","20.89"
"372","Ireland","T","Total","2021","22.5"
"372","Ireland","T","Total","2022","23.12"
"372","Ireland","T","Total","2023","23.12"
"372","Ireland","T","Total","2024","23.12"
"372","Ireland","T","Total","2025","25.29"
"807","North Macedonia","T","Total","2021","39.17"
"807","North Macedonia","T","Total","2022","41.67"
"807","North Macedonia","T","Total","2023","41.67"
"807","North Macedonia","T","Total","2024","42.5"
"807","North Macedonia","T","Total","2025","39.17"
"826","United Kingdom","T","Total","2011","22"
"826","United Kingdom","T","Total","2012","22.31"
"826","United Kingdom","T","Total","2013","22.46"
"826","United Kingdom","T","Total","2014","22.62"
"826","United Kingdom","T","Total","2015","22.77"
"826","United Kingdom","T","Total","2016","29.38"
"826","United Kingdom","T","Total","2017","30"
"826","United Kingdom","T","Total","2018","32"
"826","United Kingdom","T","Total","2019","32"
"826","United Kingdom","T","Total","2020","33.85"
"826","United Kingdom","T","Total","2021","33.85"
"826","United Kingdom","T","Total","2022","34.36"
"826","United Kingdom","T","Total","2023","34.51"
"826","United Kingdom","T","Total","2024","34.67"
"826","United Kingdom","T","Total","2025","40.46"
"191","Croatia","T","Total","2011","23.53"
"191","Croatia","T","Total","2012","23.84"
"191","Croatia","T","Total","2013","23.84"
"191","Croatia","T","Total","2014","23.84"
"191","Croatia","T","Total","2015","25.83"
"191","Croatia","T","Total","2016","15.23"
"191","Croatia","T","Total","2017","19.87"
"191","Croatia","T","Total","2018","18.54"
"191","Croatia","T","Total","2019","20.53"
"191","Croatia","T","Total","2020","19.21"
"191","Croatia","T","Total","2021","31.13"
"191","Croatia","T","Total","2022","31.79"
"191","Croatia","T","Total","2023","31.79"
"191","Croatia","T","Total","2024","33.77"
"191","Croatia","T","Total","2025","33.11"
"203","Czechia","T","Total","2011","22"
"203","Czechia","T","Total","2012","22"
"203","Czechia","T","Total","2013","22"
"203","Czechia","T","Total","2014","19.5"
"203","Czechia","T","Total","2015","19"
"203","Czechia","T","Total","2016","20"
"203","Czechia","T","Total","2017","20"
"203","Czechia","T","Total","2018","22"
"203","Czechia","T","Total","2019","22.5"
"203","Czechia","T","Total","2020","22.5"
"203","Czechia","T","Total","2021","23"
"688","Serbia","T","Total","2017","34.4"
"688","Serbia","T","Total","2018","34.4"
"688","Serbia","T","Total","2019","37.65"
"688","Serbia","T","Total","2020","37.65"
"688","Serbia","T","Total","2021","39.2"
"688","Serbia","T","Total","2022","40"
"688","Serbia","T","Total","2023","34.8"
"688","Serbia","T","Total","2024","38"
"688","Serbia","T","Total","2025","37.2"
"196","Cyprus","T","Total","2011","12.5"
"196","Cyprus","T","Total","2012","10.71"
"196","Cyprus","T","Total","2013","10.71"
"196","Cyprus","T","Total","2014","12.5"
"674","San Marino","T","Total","2014","18.33"
"674","San Marino","T","Total","2015","16.67"
"674","San Marino","T","Total","2016","16.67"
"674","San Marino","T","Total","2017","26.67"
"674","San Marino","T","Total","2018","26.67"
"674","San Marino","T","Total","2019","25"
"674","San Marino","T","Total","2020","31.67"
"674","San Marino","T","Total","2021","33.33"
"674","San Marino","T","Total","2022","33.33"
"674","San Marino","T","Total","2023","33.33"
"674","San Marino","T","Total","2024","33.33"
"674","San Marino","T","Total","2025","35"
"688","Serbia","T","Total","2011","21.6"
"688","Serbia","T","Total","2012","22"
"688","Serbia","T","Total","2013","33.2"
"688","Serbia","T","Total","2014","33.6"
"688","Serbia","T","Total","2015","34"
"688","Serbia","T","Total","2016","34"
"674","San Marino","T","Total","2013","16.67"
"208","Denmark","T","Total","2011","37.99"
"208","Denmark","T","Total","2012","39.11"
"208","Denmark","T","Total","2013","39.11"
"208","Denmark","T","Total","2014","39.11"
"208","Denmark","T","Total","2015","37.99"
"208","Denmark","T","Total","2016","37.43"
"208","Denmark","T","Total","2017","37.43"
"208","Denmark","T","Total","2018","37.43"
"208","Denmark","T","Total","2019","37.43"
"208","Denmark","T","Total","2020","39.66"
"208","Denmark","T","Total","2021","39.66"
"208","Denmark","T","Total","2022","39.66"
"208","Denmark","T","Total","2023","43.58"
"208","Denmark","T","Total","2024","45.25"
"208","Denmark","T","Total","2025","43.58"
"620","Portugal","T","Total","2011","27.39"
"620","Portugal","T","Total","2012","28.7"
"620","Portugal","T","Total","2013","28.7"
"620","Portugal","T","Total","2014","31.3"
"620","Portugal","T","Total","2015","31.3"
"620","Portugal","T","Total","2016","34.78"
"620","Portugal","T","Total","2017","34.78"
"620","Portugal","T","Total","2018","34.78"
"620","Portugal","T","Total","2019","35.65"
"620","Portugal","T","Total","2020","40"
"620","Portugal","T","Total","2021","40"
"620","Portugal","T","Total","2022","40"
"620","Portugal","T","Total","2023","36.09"
"620","Portugal","T","Total","2024","36.52"
"620","Portugal","T","Total","2025","34.78"
