,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
EU,15.871,16.402,16.879,17.647,18.526,20.654,21.283,23.3,25.138,26.769,28.601,29.655,30.172,31.104,32.134,34.086,37.408,37.76,41.22,45.286
Belgium,1.714,2.386,3.13,3.662,4.625,6.176,7.332,8.989,11.338,12.547,13.414,15.573,15.834,17.214,18.886,20.817,25.122,26.018,29.098,31.37
Bulgaria,8.358,8.666,8.73,8.899,9.544,10.906,12.358,12.621,15.816,18.682,18.686,18.975,19.147,19.022,22.355,23.509,23.586,21.413,20.08,29.426
Czechia,3.693,3.782,4.096,4.621,5.182,6.378,7.516,10.61,11.667,12.781,13.89,14.072,13.615,13.654,13.711,14.046,14.81,14.468,15.499,16.448
Denmark,23.754,24.647,23.966,25.001,25.936,28.257,32.735,35.874,38.716,43.084,48.493,51.292,53.717,59.94,62.394,65.347,65.323,72.92,77.223,79.392
Germany,9.436,10.577,11.944,13.727,15.141,17.521,18.241,20.93,23.605,25.284,28.171,30.882,32.273,34.612,37.591,40.604,44.215,43.88,47.888,52.24
Estonia,0.546,1.127,1.428,1.432,1.972,5.966,10.294,12.199,15.67,12.948,14.017,16.152,16.194,17.583,19.679,21.998,28.293,29.197,29.114,31.845
Ireland,6.031,7.196,8.505,9.534,10.822,14.061,15.642,18.252,19.838,20.96,23.32,25.725,27.069,30.318,33.317,36.46,39.055,37.665,37.387,40.428
Greece,7.842,8.213,8.924,9.33,9.646,11.016,12.307,13.81,16.364,21.241,21.923,22.089,22.657,24.464,26.001,31.295,35.856,35.881,42.361,48.225
Spain,19.018,19.166,20.027,21.718,23.777,27.882,29.748,31.53,33.438,36.027,37.128,36.972,36.676,36.465,35.236,37.131,42.944,46.001,50.901,56.933
France,13.782,13.738,14.058,14.289,14.358,15.088,14.815,16.179,16.548,16.977,18.465,18.821,19.209,19.933,21.131,22.389,24.819,24.733,27.292,29.981
Croatia,35.027,35.184,34.818,33.976,33.865,35.877,37.52,37.592,38.764,42.077,45.241,45.409,46.667,46.437,48.139,49.783,53.816,53.471,56.245,58.826
Italy,16.086,16.293,15.926,15.954,16.645,18.807,20.091,23.546,27.42,31.302,33.42,33.459,34.012,34.104,33.93,34.969,38.081,35.996,37.102,38.1
Cyprus,0.019,0.024,0.034,0.074,0.285,0.589,1.39,3.445,4.927,6.654,7.399,8.445,8.587,8.911,9.357,9.756,12.041,14.84,16.963,20.939
Latvia,45.958,43.023,40.414,38.622,38.733,41.942,42.051,44.694,44.877,48.685,51.037,52.205,51.251,54.352,53.499,53.423,53.357,51.399,53.519,54.317
Lithuania,3.587,3.831,4.016,4.652,4.914,5.869,7.401,9.02,10.876,13.149,13.705,15.543,16.872,18.255,18.408,18.79,20.166,21.278,26.461,36.469
Luxembourg,2.765,3.179,3.172,3.305,3.581,4.105,3.786,4.075,4.66,5.329,5.958,6.197,6.674,8.055,9.115,10.863,13.887,14.216,16.187,18.044
Hungary,2.22,4.419,3.453,4.193,5.317,6.958,7.103,6.379,6.057,6.6,7.305,7.341,7.292,7.513,8.306,9.969,11.904,13.66,15.333,19.536
Malta,0,0,0,0,0,0,0.032,0.454,1.115,1.571,3.333,4.312,5.714,6.845,7.702,7.485,9.489,9.649,10.122,10.74
Netherlands,4.446,6.297,6.541,5.963,7.464,9.069,9.601,9.74,10.35,9.911,9.924,11.04,12.55,13.812,15.171,18.23,26.407,33.251,39.65,46.4
Austria,61.627,62.901,63.527,65.666,65.88,68.626,66.361,66.779,67.439,68.909,71.059,71.487,72.521,71.626,74.189,75.067,78.204,73.881,74.806,87.764
Poland,2.049,2.512,2.86,3.316,4.248,5.713,6.549,8.078,10.61,10.676,12.36,13.401,13.342,13.082,13.027,14.356,16.237,17.167,21.009,25.792
Portugal,27.39,27.703,29.308,32.285,34.063,37.562,40.608,45.78,47.505,49.101,52.054,52.616,53.99,54.168,52.186,53.774,58.032,58.433,60.991,63.01
Romania,28.427,28.775,28.054,28.108,28.075,30.894,30.378,31.131,33.567,37.516,41.679,43.161,42.712,41.965,41.793,42.616,43.374,42.676,43.725,47.391
Slovenia,29.271,28.654,28.231,27.697,29.962,33.756,32.2,31.045,31.637,33.081,33.935,32.722,32.056,32.425,32.307,32.632,35.095,34.976,37.005,41.887
Slovakia,15.403,15.735,16.566,16.467,17.013,17.765,17.774,19.305,20.054,20.8,22.87,22.656,22.513,21.343,21.499,22.103,23.066,22.402,22.901,24.201
Finland,26.711,26.918,26.42,25.468,26.745,26.821,27.216,28.964,29.11,30.543,31.114,32.207,32.716,35.044,36.539,37.969,39.564,39.583,47.966,52.375
Sweden,51.196,50.899,51.783,53.21,53.687,58.252,55.767,59.624,59.779,61.737,63.214,65.733,64.869,65.909,66.228,71.234,74.495,75.76,83.372,87.547
Iceland,93.148,94.928,93.497,113.7,90.847,92.861,92.419,93.915,95.422,96.719,97.063,93.11,95.31,93.376,98.497,100.64,102.709,99.536,99.193,
Norway,97.973,97.423,100.843,99.052,100.154,105.191,98.252,105.887,104.599,106.917,110.135,106.83,105.638,104.85,106.829,110.445,113.802,113.642,120.01,116.538
Montenegro,,39.102,37.679,37.622,38.258,46.615,45.74,41.583,42.765,49.067,51.444,49.613,50.961,50.111,52.419,53.647,61.49,60.462,68.513,67.529
Serbia,18.486,22.366,23.603,24.812,25.858,28.252,28.183,27.526,28.509,27.971,30.274,28.915,29.154,27.448,28.658,30.107,30.701,29.82,30.29,31.795
Bosnia and Herzegovina,,,,,,,,,,,38.394,38.726,40.829,39.564,41.498,45.482,49.308,46.318,39.294,
Albania,69.979,76.112,74.208,79.631,73.299,70.714,74.618,66.131,72.427,62.665,70.985,79.222,82.104,91.025,92.45,92.994,99.975,94.421,102.968,105.381
North Macedonia,14.511,13.989,14.011,13.671,13.848,15.471,15.847,14.849,16.659,18.206,19.273,21.663,24.138,24.839,24.838,23.778,23.532,22.785,25.868,32.201
Kosovo*,0.472,0.611,0.907,0.971,0.971,1.136,1.361,1.368,1.496,1.628,1.867,1.842,3.973,3.622,4.234,5.155,5.259,5.172,6.685,8.975
Moldova,0.841,0.821,0.787,0.83,0.828,0.959,1.813,1.799,1.694,1.693,1.903,1.975,1.947,2.137,2.627,3.039,3.118,3.579,5.535,9.209
Georgia,,,,,,,,,,,,,,,,,,51.314,55.492,66.257
