Country,Technology/source,Year,Main category,Sub Category,Value
Afghanistan,Hydropower,2023,Primary Energy,Production,2782.728
Afghanistan,Hydropower,2023,Primary Energy,Supply,2782.728
Afghanistan,Hydropower,2023,Transformation/Losses,Electricity,-2782.728
Afghanistan,Hydropower,2023,Consumption(Elect.& Heat),Total,13562.86749
Afghanistan,Hydropower,2023,Consumption(Elect.& Heat),Electricity,13562.86749
Afghanistan,Hydropower,2023,Gross Electricity & Heat,Electricity,772.98
Afghanistan,Hydropower,2022,Primary Energy,Production,2732.3316
Afghanistan,Hydropower,2022,Primary Energy,Supply,2732.3316
Afghanistan,Hydropower,2022,Transformation/Losses,Electricity,-2732.3316
Afghanistan,Hydropower,2022,Consumption(Elect.& Heat),Total,11560.76411
Afghanistan,Hydropower,2022,Consumption(Elect.& Heat),Electricity,11560.76411
Afghanistan,Hydropower,2022,Gross Electricity & Heat,Electricity,758.981
Afghanistan,Wind,2023,Primary Energy,Production,0.441504
Afghanistan,Wind,2023,Primary Energy,Supply,0.441504
Afghanistan,Wind,2023,Transformation/Losses,Electricity,-0.441504
Afghanistan,Wind,2023,Consumption(Elect.& Heat),Total,2.15186689
Afghanistan,Wind,2023,Consumption(Elect.& Heat),Electricity,2.15186689
Afghanistan,Wind,2023,Gross Electricity & Heat,Electricity,0.12264
Afghanistan,Wind,2022,Primary Energy,Production,0.441504
Afghanistan,Wind,2022,Primary Energy,Supply,0.441504
Afghanistan,Wind,2022,Transformation/Losses,Electricity,-0.441504
Afghanistan,Wind,2022,Consumption(Elect.& Heat),Total,1.868046908
Afghanistan,Wind,2022,Consumption(Elect.& Heat),Electricity,1.868046908
Afghanistan,Wind,2022,Gross Electricity & Heat,Electricity,0.12264
Afghanistan,Solar PV,2023,Primary Energy,Production,421.7436
Afghanistan,Solar PV,2023,Primary Energy,Supply,421.7436
Afghanistan,Solar PV,2023,Transformation/Losses,Electricity,-421.7436
Afghanistan,Solar PV,2023,Consumption(Elect.& Heat),Total,2055.555757
Afghanistan,Solar PV,2023,Consumption(Elect.& Heat),Electricity,2055.555757
Afghanistan,Solar PV,2023,Gross Electricity & Heat,Electricity,117.151
Afghanistan,Solar PV,2022,Primary Energy,Production,326.4768
Afghanistan,Solar PV,2022,Primary Energy,Supply,326.4768
Afghanistan,Solar PV,2022,Transformation/Losses,Electricity,-326.4768
Afghanistan,Solar PV,2022,Consumption(Elect.& Heat),Total,1381.355496
Afghanistan,Solar PV,2022,Consumption(Elect.& Heat),Electricity,1381.355496
Afghanistan,Solar PV,2022,Gross Electricity & Heat,Electricity,90.688
Afghanistan,Solid Biofuels,2023,Primary Energy,Production,23462.35794
Afghanistan,Solid Biofuels,2023,Primary Energy,Imports,0.03402
Afghanistan,Solid Biofuels,2023,Primary Energy,Supply,23462.39196
Afghanistan,Solid Biofuels,2023,Transformation/Losses,Charcoal,-10985.12604
Afghanistan,Solid Biofuels,2023,Final Consumption,Total,12477.26592
Afghanistan,Solid Biofuels,2023,Final Consumption,Residential,12477.26592
Afghanistan,Solid Biofuels,2023,Consumption(Elect.& Heat),Total,12477.26592
Afghanistan,Solid Biofuels,2023,Consumption(Elect.& Heat),DirectUse,12477.26592
Afghanistan,Solid Biofuels,2022,Primary Energy,Production,23038.36668
Afghanistan,Solid Biofuels,2022,Primary Energy,Imports,0.03402
Afghanistan,Solid Biofuels,2022,Primary Energy,Supply,23038.4007
Afghanistan,Solid Biofuels,2022,Transformation/Losses,Charcoal,-10685.54592
Afghanistan,Solid Biofuels,2022,Final Consumption,Total,12352.85478
Afghanistan,Solid Biofuels,2022,Final Consumption,Residential,12352.85478
Afghanistan,Solid Biofuels,2022,Consumption(Elect.& Heat),Total,12352.85478
Afghanistan,Solid Biofuels,2022,Consumption(Elect.& Heat),DirectUse,12352.85478
Afghanistan,Biogas,2023,Primary Energy,Production,0.472384
Afghanistan,Biogas,2023,Primary Energy,Supply,0.472384
Afghanistan,Biogas,2023,Final Consumption,Total,0.472384
Afghanistan,Biogas,2023,Final Consumption,Residential,0.472384
Afghanistan,Biogas,2023,Consumption(Elect.& Heat),Total,0.472384
Afghanistan,Biogas,2023,Consumption(Elect.& Heat),DirectUse,0.472384
Afghanistan,Biogas,2022,Primary Energy,Production,0.472384
Afghanistan,Biogas,2022,Primary Energy,Supply,0.472384
Afghanistan,Biogas,2022,Final Consumption,Total,0.472384
Afghanistan,Biogas,2022,Final Consumption,Residential,0.472384
Afghanistan,Biogas,2022,Consumption(Elect.& Heat),Total,0.472384
Afghanistan,Biogas,2022,Consumption(Elect.& Heat),DirectUse,0.472384
Afghanistan,Charcoal,2023,Primary Energy,Imports,1.6016
Afghanistan,Charcoal,2023,Primary Energy,Exports,-0.4312
Afghanistan,Charcoal,2023,Primary Energy,Supply,1.1704
Afghanistan,Charcoal,2023,Transformation/Losses,Charcoal,4972.6908
Afghanistan,Charcoal,2023,Final Consumption,Total,4973.8612
Afghanistan,Charcoal,2023,Final Consumption,Residential,4973.8612
Afghanistan,Charcoal,2023,Consumption(Elect.& Heat),Total,4973.8612
Afghanistan,Charcoal,2023,Consumption(Elect.& Heat),DirectUse,4973.8612
Afghanistan,Charcoal,2022,Primary Energy,Imports,0.77
Afghanistan,Charcoal,2022,Primary Energy,Exports,-0.4312
Afghanistan,Charcoal,2022,Primary Energy,Supply,0.3388
Afghanistan,Charcoal,2022,Transformation/Losses,Charcoal,4837.0784
Afghanistan,Charcoal,2022,Final Consumption,Total,4837.4172
Afghanistan,Charcoal,2022,Final Consumption,Residential,4837.4172
Afghanistan,Charcoal,2022,Consumption(Elect.& Heat),Total,4837.4172
Afghanistan,Charcoal,2022,Consumption(Elect.& Heat),DirectUse,4837.4172
Afghanistan,Electricity,2023,Primary Energy,Imports,16913.12194
