Country and area,latest year available,Terrestrial and marine protected areas 
Afghanistan,2018,0.104707034792812
Albania,2018,13.5256825491485
Algeria,2018,7.10549311732352
American Samoa,2018,8.71956554004454
Andorra,2018,26.7277247815139
Angola,2018,5.00471082728009
Antigua and Barbuda,2018,0.258339766209328
Argentina,2018,7.40512875012761
Armenia,2018,23.1105028060216
Aruba,2018,0.141163456065734
Australia,2018,29.7087937305528
Austria,2018,28.3979816556051
Azerbaijan,2018,5.51915683577014
Bahamas,2018,8.55510641678468
Bahrain,2018,1.68635200570205
Bangladesh,2018,4.88864858128713
Barbados,2018,0.00887361505544849
Belarus,2018,9.35349335261767
Belgium,2018,24.6491730272904
Belize,2018,20.5904509930421
Benin,2018,23.4719085609043
Bermuda,2018,0.000390137013900296
Bhutan,2018,48.0078510451912
Bolivia (Plurinational State of),2018,30.8654914952935
Bosnia and Herzegovina,2018,1.39514750796966
Botswana,2018,29.1432374214094
Brazil,2018,28.5782526119273
British Virgin Islands,2018,0.0239265980805522
Brunei Darussalam,2018,8.98950185960816
Bulgaria,2018,28.2969904804196
Burkina Faso,2018,14.9228805539331
Burundi,2018,7.59147170587878
Cabo Verde,2018,0.0155917052278871
Cambodia,2018,20.649495414341
Cameroon,2018,10.3821451142253
Canada,2018,6.47719362274678
Cayman Islands,2018,0.1034531661285
Central African Republic,2018,18.0648242198926
Chad,2018,20.3544358034532
Chile,2018,27.0392385768099
China,2018,14.5876416474392
China. Hong Kong Special Administrative Region,2018,48.9255047485728
Colombia,2018,15.6885212658182
Comoros,2018,0.125684891164512
Congo,2018,36.8382795180106
Costa Rica,2018,3.03538959317313
Côte d’Ivoire,2018,14.8915471093909
Croatia,2018,23.5817265852557
Cuba,2018,7.18462280816919
Curaçao,2018,0.258715834177835
Cyprus,2018,1.68708521970488
Czechia,2018,22.1556760039807
Democratic People's Republic of Korea,2018,1.26022344438817
Democratic Republic of the Congo,2018,13.7567562191358
Denmark,2018,17.9276418331277
Djibouti,2018,1.23209428640264
Dominica,2018,0.673332200010968
Dominican Republic,2018,19.2157370412977
Ecuador,2018,14.955139706334
Egypt,2018,11.5507970192091
El Salvador,2018,2.15167925790249
Equatorial Guinea,2018,1.76531204067703
Eritrea,2018,2.95834092932792
Estonia,2018,19.508099047707
Eswatini,2018,4.23300820628733
Ethiopia,2018,18.4749603066502
Faeroe Islands,2018,0.0233716786944293
Fiji,2018,0.990369350346329
Finland,2018,14.1603139347862
France,2018,33.2074996806332
French Polynesia,2018,0.00585039711480982
Gabon,2018,25.1293640958956
Gambia,2018,1.36615407157188
Georgia,2018,6.44294931342771
Germany,2018,38.7874034693079
Ghana,2018,7.79471942096576
Gibraltar,2018,13.1593352299108
Greece,2018,11.0283505287585
Greenland,2018,22.3782828633614
Grenada,2018,0.222068705409949
Guam,2018,0.071134098908744
Guatemala,2018,10.121112637184
Guinea,2018,24.7992849458716
Guinea-Bissau,2018,11.6199334552951
Guyana,2018,5.30607734786502
Haiti,2018,0.353092294045252
Honduras,2018,10.8637009278591
Hungary,2018,22.5975581595624
Iceland,2018,2.50646684968118
India,2018,3.47930689489956
Indonesia,2018,5.26823344567267
Iran (Islamic Republic of),2018,7.6665206734854
Iraq,2018,1.53132758698647
Ireland,2018,4.04223100626643
Isle of Man,2018,4.22910719476977
Israel,2018,8.58271221861595
Italy,2018,13.3653061047713
Jamaica,2018,1.40564285524534
Japan,2018,10.0262887092871
Jordan,2018,1.80598714296253
Kazakhstan,2018,3.21716402649566
Kenya,2018,10.5050828924669
Kiribati,2018,11.8210466833858
Kuwait,2018,10.9989577458097
Kyrgyzstan,2018,6.7026929831278
