"1,991",1.645,7.946,10.304,1.6,16.468,5.44,3.42,9.586,0.9,17.55,22.308,2.2,6.984,2.468,11.1,1.13,3.168,1.639,4.7,2.927,6.896,12.17,1.374,13.82,0.6,9.64,10.316,3.213,5.561,19.858,1.818,6.597,5.23,8.933,2.37,10.12,5.37,8.31,13.539,3,2.27,5.316,27.078,9.099,6.878,20.6,4.332,1.468,9.38,5.329,15.929,3.259,6.503,4.633,9.134,17.22,8.55,2.7,3.489,9.561,4.519,7.285,7.572,2.675,3.509,3.066,12.046,1.8,4.58,11.14,7.327,8.5,2.617,15.771,13.387,6.85,8.714,11.1,2.548,10.097,6.281,21.311,2.059,2.788,1,4.834,2.394,2.407,0.888,0.9,2.485,8.61,16.528,14.661,2.68,15.449,1.1,1.482,2.7,18.69,13.59,1.9,29.933,6.14,24.5,1.317,0.878,5.687,3.01,9.888,6.357,9.541,0.795,4.876,3.145,3.694,2.825,19.14,18.05,3.741,8.054,7.285,5.407,10.539,10.614,4.148,6.451,4.961,11.718,2.839,3.77,0.586,13.635,16.18,3.919,5.1,8.244,13.348,5.133,12.304,7.29,1.976,14.899,3.243,2.18,7.08,12.154,4.056,2.86,19.037,17.085,12.203,14.417,7.53,6.75,20.57,0.669,4.045,2.63,1.9,3.329,1.4,15.977,1.35,8.21,18.52,3.6,3.404,6.8,8.95,1.9,19.77,9.45,11.989,2.162,8.009,2.1,8.17,20.105,18.9,4.796
"1,992",1.73,7.94,30.007,1.8,16.621,6.36,3.59,10.733,1.8,18.481,22.94,2.253,6.702,2.505,15.3,1.042,3.141,1.51,4.772,3.028,7.086,14.81,1.381,16.331,3.1,9.657,11.197,3.312,5.672,19.866,2.344,6.7,4.35,9.012,2.37,9.44,3.93,8.786,13.459,2.09,2.6,6.323,26.931,9.027,6.671,24.38,4.291,3.681,8.92,5.483,17.697,3.382,11.595,4.657,10.203,17.701,9.772,5.4,4.7,9.681,4.549,7.487,8.927,2.631,3.837,3.13,11.9,1.96,3.06,10.934,7.405,9.942,2.734,15.021,14.08,6.853,8.434,10.659,4.305,9.321,6.438,19.93,2.158,2.893,1.1,4.55,2.427,2.513,0.879,1,2.702,8.268,16.544,14.22,2.747,15.405,1.2,2.029,6.6,18.92,13.85,3.7,30.128,6.251,26.3,1.408,0.826,5.866,2.197,9.954,6.353,9.473,0.796,5.036,3.235,3.71,2.996,18.922,18.642,3.705,7.941,5.555,5.91,10.547,10.667,4.258,6.298,5.098,11.85,2.651,3.882,0.583,13.645,16.93,3.985,4.98,8.26,13.447,5.181,12.118,7.2,1.864,14.971,5.722,3.09,7.823,12.206,4.248,2.919,19.247,17.28,12.267,14.576,7.88,6.955,20.961,0.66,4.189,1.35,2.1,3.292,1.5,15.647,1.351,8.509,19.66,3.68,3.498,7.5,8.96,2.9,19.541,7.69,12.271,2.128,7.982,2.438,8.114,20.369,19.544,4.933
"1,993",1.915,7.961,25.251,5.3,17.074,10.1,4.25,10.879,4.5,19.422,24.54,2.32,8.078,2.432,16.4,0.943,3.112,1.494,4.87,3.049,6.03,12.72,1.394,18.762,8.5,9.78,11.377,3.39,5.735,19.933,3.551,5.868,4.49,9.118,2.69,7.8,3.95,9.28,13.327,2.7,4.349,7.675,27.509,10.719,6.305,26.23,4.367,6.544,10.92,5.554,22.156,3.236,16.201,4.71,11.321,17.78,10.346,5.4,5.238,9.727,4.527,7.639,10.177,2.593,5.527,3.179,11.668,1.96,3.097,10.709,7.582,12.098,2.782,15.571,12.741,6.859,8.442,10.574,5.257,10.212,6.284,19.7,2.539,2.97,1.223,4.597,2.53,2.878,0.8,1.11,2.727,8.275,16.8,13.82,2.7,15.531,13.8,2.33,16.7,19.102,14.076,3.7,30.401,6.3,27.7,1.342,0.801,5.861,2.057,9.757,6.349,9.529,0.792,4.967,3.365,4.11,2.872,19.096,18.82,3.92,7.96,6.287,5.965,10.56,9.804,4.106,6.348,4.828,11.899,2.422,3.897,0.588,14.393,16.91,5.301,5.06,8.24,13.555,5.883,12.167,7.075,1.842,14.803,9.33,3.07,8.51,12.2,4.27,2.872,19.208,15.64,12.102,14.413,9.94,7.4,21.715,0.7,4.47,1.49,6.2,3.257,1.5,15.986,1.3,8.962,19.81,3.881,3.445,6.9,8.35,4.9,19.66,6.6,12.446,2.051,8.326,2.686,8.338,20.295,19.7,4.993
"1,994",1.841,7.98,20.835,6.6,17.105,11.76,3.535,9.724,6.3,20.251,22.98,2.381,9.645,2.58,12.8,1.08,3.133,1.455,4.964,3.08,6.578,13.83,1.391,21.2,12.8,11.1,10.395,3.345,5.757,20.179,3.58,5.045,5.87,8.854,2.9,8.25,4.05,8.811,13.021,2.7,4.284,8.727,27.422,8.036,6.267,27.74,4.373,7.561,10.93,5.598,24.209,3.1,16.426,4.623,12.593,17.805,9.648,8.4,5.895,9.862,4.481,7.745,9.808,2.576,7.6,3.203,11.598,1.9,3.136,10.332,7.97,10.847,4.366,14.544,9.934,6.828,8.298,10.449,5.326,11.086,6.388,16.915,2.89,2.947,1.34,4.593,2.639,2.476,0.7,7.54,2.631,8.364,17,13.03,2.664,15.587,13.8,3.48,18.7,19.411,13.917,5.8,30.366,6.09,30,1.444,0.771,5.709,2.48,9.873,6.346,9.531,0.791,5.333,4.436,3.64,2.856,19.4,18.956,3.959,7.773,7.159,5.349,10.552,8.354,4.17,6.439,4.526,12.103,2.454,3.796,0.591,14.825,14.6,6.709,4.41,8.17,13.509,8.131,12.287,6.88,1.816,14.923,9.58,3.03,8.24,13.654,4.316,2.932,19.686,12.7,12.224,14.376,7.68,7.5,21.704,0.711,4.184,1.347,8.8,3.278,4.7,16.038,1.708,8.577,18.44,3.847,3.424,6.119,9.04,7.3,19.958,8.56,12.247,1.98,8.145,2.995,8.34,20.073,18.645,4.96
"1,995",1.8,7.967,14.607,6.7,16.711,18.8,4.353,8.473,7.2,21.063,19.66,2.446,9.337,2.532,11.1,1.117,3.088,1.307,5.059,2.665,7.092,10.83,1.392,21.395,17.7,12.48,9.489,3.233,5.709,20.146,3.094,4.1,4.7,8.585,3,8.72,5.18,8.27,12.977,2.6,4.083,8.158,27.607,6.992,6.431,31.84,4.372,9.659,11.04,5.464,22.675,3.021,17.005,4.674,11.834,17.414,8.694,7.6,6.479,9.983,4.437,7.787,10.117,2.573,7.9,3.168,11.622,3.22,3.24,9.995,7.56,10.168,4.611,11.97,8.782,6.99,8.488,9.895,5.196,11.661,6.378,14.6,3.15,2.847,1.435,4.709,2.659,2.063,0.694,10.98,2.6,8.456,15.83,12.27,2.588,15.771,17.54,2.918,19,19.483,14.089,5.3,30.178,6.078,35.6,1.394,0.757,5.5,3.581,9.674,6.342,9.59,0.79,4.884,7.095,3.15,2.755,21.319,18.635,4.041,7.491,7.158,6.307,10.565,6.461,4.262,6.51,4.737,12.05,2.633,3.71,0.596,13.695,13.93,7.064,3.4,8.01,13.4,9.449,12.094,6.44,1.849,14.931,8.897,3.3,7.15,13.109,4.21,2.84,19.477,8.39,12.238,14.323,7.65,7.2,21.65,0.751,3.986,1.1,10.3,3.3,8.3,16.36,2.007,7.644,17.22,3.659,3.197,5.65,10.02,7.8,19.984,10.24,11.811,1.959,8.198,3.239,8.987,19.799,16.825,5.573
"1,996",1.836,7.941,13.928,9.3,16.013,17.11,5.291,8.509,8.1,21.84,14.71,2.51,9.483,2.448,12.5,1.254,3.095,1.25,5.142,2.375,8.035,11.46,1.392,21.593,24.4,13.82,9.62,3.117,5.676,19.995,3.684,4.04,7.414,8.06,3.12,11.81,6.16,7.61,12.945,3.1,3.852,8.822,27.461,6.844,6.48,28.315,4.387,9.915,9,5.394,22.142,3.137,15.572,4.649,12.367,17.354,8.189,11.5,7.084,10.036,4.461,7.84,10.402,2.623,8.283,3.063,11.602,2.83,4.37,9.68,7.319,10.022,4.861,11.692,8.455,7.147,8.559,9.1,3.6,11.864,6.675,13.7,3.383,2.777,1.512,4.813,2.693,2.048,0.7,12.96,2.453,8.444,16.33,11.35,2.371,15.681,16.4,3.286,20.7,19.322,13.434,7.9,29.837,6.082,38.8,1.35,0.762,5.533,4.249,9.673,6.339,9.502,1.023,4.929,5.465,2.52,2.752,22.837,18.64,3.944,7.164,6.421,5.036,10.56,6.29,4.345,6.525,4.95,12.015,2.751,3.637,0.591,12.684,13.64,7.298,8.15,6.74,13.2,9.665,11.696,5.845,1.88,14.902,9.547,3.57,6.886,11.341,4.21,2.826,19.394,10.88,12.217,14.319,7.68,7.225,22.076,0.701,3.624,1.071,13.4,3.315,10.3,16.07,2.414,6.629,16.25,3.466,3.182,5.451,11.93,10.7,20.328,11.77,11.699,1.93,8.153,3.51,9.588,19.643,15.3,6.161
"1,997",1.908,7.92,16.872,10.8,15.928,14.82,5.157,8.367,9.1,22.727,14.61,2.699,8.95,2.414,13.7,1.196,3.147,1.102,5.254,2.08,9.003,9.76,1.395,21.041,17.1,12.68,9.101,3.14,5.633,19.862,4.127,3.965,7.136,7.86,3.23,12.14,5.68,7.1,13.102,3.4,4.674,9.861,27.446,5.4,6.314,25.43,4.389,10.369,8.37,5.494,20.698,3.245,14.968,4.741,12.566,17.201,7.072,11.5,7.637,9.866,4.423,7.881,10.472,2.608,9.67,3.03,11.62,2.22,3.32,9.71,6.968,8.991,4.684,10.192,9.751,7.335,8.319,9.69,3.72,11.985,6.758,13.737,3.374,2.819,1.577,4.584,2.782,2.608,0.7,13.01,2.36,8.62,20.47,10.6,2.176,15.796,14.13,2.527,14.9,19.439,14.04,7.9,29.844,5.963,36,1.34,0.765,5.611,3.261,9.694,6.335,9.383,1.257,4.69,4.235,2.45,2.7,24.45,18.382,3.873,7.132,5.511,4.687,10.596,6.857,4.278,6.423,4.784,11.945,2.87,3.618,0.596,10.964,13.8,6.571,5.36,5.515,13.8,11.813,11.31,5.322,2.003,14.577,10.359,2.5,6.658,11.894,4.251,2.76,19.033,10.56,11.909,14.404,7.98,7.314,22.5,0.732,3.636,0.873,13.9,3.346,11,15.94,2.864,6.841,15.01,3.336,3.222,5,11.44,10.9,20.106,11.16,11.465,2.87,8.287,3.775,10.224,19.679,13.305,6.93
"1,998",2.071,7.941,20.042,9.4,16.148,12.65,5.493,7.684,10,23.633,12.4,2.891,9.323,2.44,12.2,1.179,3.191,1.051,5.368,2.122,10.15,7.65,1.4,20.86,14,14.31,8.279,3.169,5.602,19.88,3.568,4.1,7.307,7.696,3.24,15,5.33,6.23,13.146,3.3,6.455,9.787,27.269,5.039,6.295,26.855,4.35,9.51,8.03,5.589,18.673,3.489,13.215,4.758,12.074,17.184,6.198,14.53,8.2,9.784,4.461,7.933,12.227,2.608,7.74,3.416,11.718,4.58,4.02,11.392,7.159,8.925,5.459,7.699,10.749,7.517,8.126,10.367,3.069,12.117,6.915,13.832,4.078,2.841,1.666,4.636,2.974,6.963,0.7,13.13,2.303,8.565,21.6,9.17,2.038,15.887,13.711,2.763,14.454,19.271,13.411,10,29.936,5.896,34.5,1.269,0.772,5.751,4.607,9.863,6.331,9.26,1.491,4.915,3.733,3.2,2.646,23.083,18.619,3.836,7.232,4.394,3.737,10.608,7.718,4.342,6.297,5.11,11.853,2.871,3.712,0.6,9.935,13.46,4.64,4.417,5.63,13.7,13.261,11.438,4.769,2.136,14.603,8.941,3.41,7.4,12.421,4.159,2.751,18.947,10.63,11.939,14.393,7.1,7.382,23.204,0.727,3.789,3.404,16.5,3.408,12.2,15.476,3.36,6.888,14.21,3.279,3.418,4.511,9.362,13.3,20.503,11.15,11.247,2.29,8.285,4.123,10.83,19.821,12,6.385
"1,999",2.197,7.953,20.835,11.2,16.392,14.05,4.707,6.876,10.9,24.572,10.61,3.082,8.649,2.55,14.1,1.174,3.146,0.951,5.46,2.3,11.125,7.45,1.4,18.231,12.8,12.84,7.583,3.206,5.593,20.096,3.053,4.421,11.158,7.596,3.25,20.06,5.9,6.26,13.161,5.532,8.702,8.854,26.955,5.142,6.305,28.545,4.642,11.573,7.95,5.683,15.475,3.714,11.693,4.709,11.981,17.599,6.042,13.8,10.1,9.643,4.488,8.002,12.138,2.566,13.95,3.558,11.785,6.25,3.85,13.559,7.2,6.929,6.358,5.804,11.183,7.682,8.042,11.176,2.178,11.681,6.875,13.759,4.677,2.877,1.768,4.558,3.166,6.342,0.7,13.46,2.165,8.735,18.09,8.88,2.021,16.145,13.388,2.39,13.79,19.306,13.94,11.14,30.191,5.82,32.4,1.287,0.762,5.84,6.348,9.912,6.328,9.275,1.728,4.993,2.598,3.43,2.675,21.67,18.292,3.898,7.197,3.623,3.247,10.624,7.023,4.417,6.285,5.02,11.745,2.943,3.758,0.602,12.29,11.81,4.579,5.343,6.239,13.7,13.036,11.711,4.346,2.17,14.651,7.607,4.85,7.33,16.099,4.198,2.665,18.951,13.6,11.989,14.353,7.3,7.6,23.849,0.752,3.892,2.968,15.4,3.66,12.7,15.21,3.714,7.687,13.12,3.215,3.454,4.219,10.466,13.3,20.524,14.53,10.869,2.33,8.352,4.487,11.46,19.926,12.496,6
"2,000",2.25,7.955,19.023,11.097,16.502,15,4.694,6.288,11.78,25.473,9.35,3.27,6.586,2.681,16.218,1.138,3.145,0.865,5.532,2.442,10.892,7.235,1.652,15.88,12.171,10.808,6.829,3.224,5.546,19.854,2.658,4.835,10.491,7.534,3.26,20.52,5.08,5.45,13.116,4.766,8.764,7.917,26.862,4.476,6.432,29.77,4.8,13.36,8.98,5.724,13.785,3.502,11.135,4.705,10.218,17.827,5.558,10.82,10.456,9.639,4.591,8.033,11.345,2.605,15.32,3.576,11.901,4.92,3.881,16.064,8.441,6.563,6.078,4.318,11.102,7.856,8.095,11.699,1.936,10.834,6.807,13.7,4.748,2.876,1.873,4.402,3.147,4.063,0.8,12.75,2.057,8.594,16.49,7.74,2.035,16.143,15.931,2.345,14.211,19.168,13.58,8.539,30.249,5.8,32.2,1.347,0.731,5.985,6.874,9.903,6.324,9.132,1.97,5.034,2.646,3,2.831,20.3,17.986,3.87,7.188,2.725,3.458,10.622,6.13,4.396,6.322,4.965,11.608,2.92,3.77,0.597,16.314,10.08,3.806,7.61,6.969,12.6,10.581,11.805,4.57,2.402,14.869,5.466,3.7,6.92,18.546,4.081,2.648,18.781,12.975,12.205,14.4,6.96,9.589,24.518,0.792,4.151,2.389,14.972,3.596,11.75,14.94,4.12,6.495,12.1,3.127,3.52,3.992,12.627,12.286,20.792,13.99,10.469,2.26,8.321,4.732,11.561,19.841,12.93,5.682
