Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Carbon intensity of GDP (kg CO2e per 2021 PPP $),Energy use (kg of oil equivalent per capita),"Fertility rate, total (births per woman)",Fossil fuel energy consumption (% of total),GDP per capita (current US$),Individuals using the Internet (% of population),Land Surface Temperature,"Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Rule of Law: Estimate,Scientific and technical journal articles
-0.8520738357968346,1.1866237067565273,-0.1291850495001241,-0.6914032363193756,-0.11992148417857992,-0.1817569930477873,-0.8572365482457295,-1.099925854362571,-0.06038964975671316,0.5296659388537995,-0.021755522084384166,0.562349638716061,-0.5937829508092589,-0.9763523935266916,-1.414919411126566
-0.7691144670530357,1.0946422457043967,-0.16892933064475554,-0.662206690911394,-0.2009954083609209,-0.10214516605860544,-0.7680704156030236,-1.0927471148424353,-0.4195693586205949,0.5584865001132787,-0.01349008841455663,0.5866802374650172,-0.2862634439414071,-0.8481240538523603,-1.493905025715953
-0.6861550983092365,1.0559849420018526,0.01874468726923742,-0.5603785913189213,-0.3604403835323412,-0.021467109243675807,-0.6952446413135475,-1.090579948194847,-0.5127645204138103,0.582709228642647,-0.003961118266329618,0.6127911239273117,-0.05025017765261629,-0.719895714178029,-1.3769894127391857
-0.5871390775505084,1.0584745594260072,0.014659689836569022,-0.578628111609853,-0.3556356546848221,0.024736183205403064,-0.5265100210438678,-1.070872276493343,-0.3662936957295553,0.6116419321638351,0.0050145669679576635,0.6400888688651653,0.18406568217058172,-0.6742416613528028,-1.4087955600934092
-0.5148841434833287,0.9855483597199983,0.00749140616815399,-0.47859268708118646,-0.5019497429711572,0.06205422710658193,-0.3626120673508035,-1.0218401310916627,-0.5789600104622057,0.6558259832775873,0.01168001993811077,0.6679800430407985,0.34501892890699754,-0.6590567263913687,-1.5043703914461402
-0.4158681227246006,0.8955471202771476,-0.18794923461109594,-0.47231895323191897,-0.6400430661004226,0.09475194176285308,-0.28781754229068396,-0.899259767587462,-0.5793431354849937,0.7092056998515649,0.014274705430785713,0.6958712172164314,0.380890885088901,-0.7213844332918952,-1.3569758777871708
-0.3302326453116466,0.8231736290684943,-0.29376411741449127,-0.4910113525059997,-0.7876467595585998,0.021892903670075202,-0.21624282979923762,-0.7783725030266894,-0.5524073179106386,0.7727903622411532,-0.0016681953668687413,0.7249492498676228,0.380890885088901,-0.6611409331507813,-1.347940979396217
-0.2512874395715798,0.7876301077913113,-0.3557956114972636,-0.5303613633462053,-0.8698620316218074,0.0457053697784466,-0.08398569907854234,-0.5958564369251307,-0.3662936957295553,0.8509535186530469,-0.040263653734752124,0.7534338532810354,0.3202169263223372,-0.6198537897262287,-1.1596433598134126
-0.16163779915489362,0.7797851296906416,-0.4874706049435582,-0.48473795936086683,-0.8969738382839283,0.0012791270389475816,0.03579904899273191,-0.29448482499491335,-0.419462935003154,0.9134167584255358,-0.08744756095736725,0.7813250274566682,0.18406568217058172,-0.5589155539986441,-1.0684360232475398
-0.08938286508771369,0.7695558773856838,-0.5002671063440175,-0.4542650803904192,-0.8619577418346979,-0.013648090521524065,-0.006773568693012554,0.29132740943123975,-0.49920615155180764,0.9426858887318541,-0.12798538576378196,0.8086227723945217,-0.012904877237984919,-0.454010480441548,-0.959577887446706
-0.02248014835884343,0.844798538610275,-0.4419450965154182,-0.45841390371743596,-0.8384324165106106,-0.019690059534095705,-0.01682150704754443,0.4200029291317819,-0.49935514461622527,0.9320323738694011,-0.14526012462293977,0.8353270880945955,-0.17192237446777903,-0.34622721659764416,-0.7205395206270143
0.055127003046645834,0.8690119202221384,-0.33174262837637347,-0.4100446379740084,-0.8013671027421252,-0.08153138942747806,0.03103981954635483,0.4877268868689094,-0.4463561831305324,0.9195845828195869,0.021650958231218972,0.8614379745568905,-0.3107748715185649,-0.40289779086547944,-0.6729754064614462
0.11400139376805174,0.9254714635299569,-0.5079767515425443,-0.5171491191945342,-0.7381539132615613,-0.21374388782022635,-0.005430859250176864,0.5689956361534624,-0.41954807389710674,0.8950254275050902,-0.13220729161875275,0.8863620025436264,-0.3880208164064702,-0.4792194574363469,-0.645979585955442
0.16217134981283823,1.0071882797222227,-0.45198913466884444,-0.36276312404074385,-0.7058531050062687,-0.26172422997888506,0.024381386234370337,0.6502643854380153,-0.419580000982339,0.8850447662128973,-0.27383268062038923,0.911286030530362,-0.4150977173950483,-0.4782269780271029,-0.6507932299171116
0.21836963186508948,1.0256150264866322,-0.3776543198292962,-0.35382678863918104,-0.7351948250097158,-0.08401925902089,0.05062177029397515,0.7349193326094248,-0.4722916187009407,0.8888576031110376,-0.2775908541387897,0.9356166292793185,-0.3880208164064702,-0.27218825266803803,-0.636862319029135
