Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 7/24/2025 3:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1987,All,Age_all,[All],2994.00000000,17.28038786,92.61296408,97.33103605,
EU,Europe,ALB,Albania,1987,Male,Age_all,[All],1588.00000000,16.47986716,104.02581499,100.23986870,
EU,Europe,ALB,Albania,1987,Female,Age_all,[All],1406.00000000,18.28348505,84.02870045,94.24224144,
EU,Europe,ALB,Albania,1988,All,Age_all,[All],2661.00000000,15.40554623,82.23538488,84.79653293,
EU,Europe,ALB,Albania,1988,Male,Age_all,[All],1431.00000000,14.80600103,93.01322759,88.54650084,
EU,Europe,ALB,Albania,1988,Female,Age_all,[All],1230.00000000,16.16719243,73.39561225,80.81471748,
EU,Europe,ALB,Albania,1989,All,Age_all,[All],3248.00000000,17.87660301,100.22263234,102.06133736,
EU,Europe,ALB,Albania,1989,Male,Age_all,[All],1692.00000000,16.58173265,107.57989947,103.29039741,
EU,Europe,ALB,Albania,1989,Female,Age_all,[All],1556.00000000,19.53546767,94.27638918,100.75762481,
EU,Europe,ALB,Albania,1992,All,Age_all,[All],2707.00000000,15.70367792,82.96609488,84.85627410,
EU,Europe,ALB,Albania,1992,Male,Age_all,[All],1482.00000000,14.90795695,95.50012088,93.24860001,
EU,Europe,ALB,Albania,1992,Female,Age_all,[All],1225.00000000,16.78772098,73.02662605,76.52423788,
EU,Europe,ALB,Albania,1993,All,Age_all,[All],2810.00000000,16.88803414,90.46444000,88.71349645,
EU,Europe,ALB,Albania,1993,Male,Age_all,[All],1548.00000000,16.07643577,106.25274627,98.84426282,
EU,Europe,ALB,Albania,1993,Female,Age_all,[All],1262.00000000,18.00285307,78.77369865,78.80604471,
EU,Europe,ALB,Albania,1994,All,Age_all,[All],2047.00000000,13.66123865,64.42540239,63.92879450,
EU,Europe,ALB,Albania,1994,Male,Age_all,[All],1104.00000000,12.51416912,74.70356151,69.60030261,
EU,Europe,ALB,Albania,1994,Female,Age_all,[All],943.00000000,15.30347290,56.77645338,58.36118332,
EU,Europe,ALB,Albania,1995,All,Age_all,[All],2056.00000000,12.80278971,65.50126723,63.28295731,
EU,Europe,ALB,Albania,1995,Male,Age_all,[All],1118.00000000,12.00601375,77.26255335,69.53601194,
EU,Europe,ALB,Albania,1995,Female,Age_all,[All],938.00000000,13.90247517,57.04124593,57.15678508,
EU,Europe,ALB,Albania,1996,All,Age_all,[All],1844.00000000,11.01092733,61.91646175,56.16813890,
EU,Europe,ALB,Albania,1996,Male,Age_all,[All],993.00000000,10.11407619,73.15010716,61.14532020,
EU,Europe,ALB,Albania,1996,Female,Age_all,[All],851.00000000,12.28171453,55.25419320,51.29596142,
EU,Europe,ALB,Albania,1997,All,Age_all,[All],1380.00000000,8.52799407,46.74634159,41.51249887,
EU,Europe,ALB,Albania,1997,Male,Age_all,[All],742.00000000,7.50936140,55.15804088,45.55221315,
EU,Europe,ALB,Albania,1997,Female,Age_all,[All],638.00000000,10.12537692,40.41528568,37.63123747,
EU,Europe,ALB,Albania,1998,All,Age_all,[All],1267.00000000,7.68997329,43.39330201,37.77128548,
EU,Europe,ALB,Albania,1998,Male,Age_all,[All],679.00000000,7.03189727,51.23472377,41.15899861,
EU,Europe,ALB,Albania,1998,Female,Age_all,[All],588.00000000,8.62170088,37.46322101,34.49287265,
EU,Europe,ALB,Albania,1999,All,Age_all,[All],1101.00000000,7.19607843,36.91792675,32.63769491,
EU,Europe,ALB,Albania,1999,Male,Age_all,[All],601.00000000,6.76268707,42.56845780,36.16125150,
EU,Europe,ALB,Albania,1999,Female,Age_all,[All],500.00000000,7.79666303,31.76251968,29.21584668,
EU,Europe,ALB,Albania,2000,All,Age_all,[All],1061.00000000,6.46517580,40.38645432,34.07193321,
EU,Europe,ALB,Albania,2000,Male,Age_all,[All],572.00000000,6.02549247,45.59574638,35.92964824,
EU,Europe,ALB,Albania,2000,Female,Age_all,[All],489.00000000,7.06851691,35.82575656,32.12877792,
EU,Europe,ALB,Albania,2001,All,Age_all,[All],804.00000000,5.30938387,28.63921353,26.19511122,
EU,Europe,ALB,Albania,2001,Male,Age_all,[All],463.00000000,5.31206976,35.15526017,30.25267847,
EU,Europe,ALB,Albania,2001,Female,Age_all,[All],341.00000000,5.30574140,23.24837060,22.15966395,
EU,Europe,ALB,Albania,2002,All,Age_all,[All],785.00000000,4.83136386,27.97883816,25.45271793,
EU,Europe,ALB,Albania,2002,Male,Age_all,[All],411.00000000,4.50509701,31.61719064,26.72819571,
EU,Europe,ALB,Albania,2002,Female,Age_all,[All],374.00000000,5.24912281,25.22357874,24.18445366,
EU,Europe,ALB,Albania,2003,All,Age_all,[All],813.00000000,4.52546618,29.56839729,26.20244401,
EU,Europe,ALB,Albania,2003,Male,Age_all,[All],432.00000000,4.31482221,34.26172178,27.93007138,
EU,Europe,ALB,Albania,2003,Female,Age_all,[All],381.00000000,4.79064504,26.03007537,24.48516880,
EU,Europe,ALB,Albania,2004,All,Age_all,[All],687.00000000,3.87085869,24.63772312,21.96809159,
EU,Europe,ALB,Albania,2004,Male,Age_all,[All],377.00000000,3.78932556,28.97827085,24.19185100,
